CustomerID,Age,Gender,Annual_Income_k$,Spending_Score,Family_Size,Tenure_Years
1,56,Male,143,99,4,1
2,69,Female,61,69,3,1
3,46,Female,19,71,3,6
4,32,Female,38,23,2,5
5,60,Male,32,89,5,3
6,25,Female,98,65,1,10
7,38,Female,19,22,1,10
8,56,Female,44,64,1,7
9,36,Male,15,68,5,7
10,40,Male,100,58,5,7
11,28,Female,96,28,1,6
12,28,Female,83,78,1,4
13,41,Female,45,97,5,9
14,53,Male,105,68,1,9
15,57,Male,107,75,5,7
16,41,Male,141,96,4,7
17,20,Female,30,4,2,8
18,39,Male,68,1,2,5
19,19,Female,34,26,5,9
20,41,Female,96,33,1,6
21,61,Male,123,81,2,7
22,47,Female,127,27,3,7
23,55,Male,31,42,1,9
24,19,Female,140,69,5,7
25,38,Female,17,71,3,3
26,50,Male,31,64,5,6
27,29,Female,64,25,1,6
28,39,Female,136,72,4,7
29,61,Female,104,98,4,6
30,42,Female,101,4,4,4
31,66,Female,20,12,1,6
32,44,Female,69,58,1,3
33,59,Female,116,95,3,1
34,45,Female,43,11,1,1
35,33,Male,125,59,1,5
36,32,Male,24,36,3,8
37,64,Female,105,22,3,3
38,68,Female,43,65,5,2
39,61,Male,59,50,2,8
40,69,Female,65,4,2,9
41,20,Male,115,100,5,9
42,54,Male,142,72,4,2
43,68,Male,25,89,1,8
44,24,Female,96,92,3,2
45,38,Female,142,52,3,7
46,26,Female,20,100,4,8
47,56,Male,81,100,3,1
48,35,Male,76,43,4,8
49,21,Male,147,46,5,3
50,42,Female,42,4,4,1
51,31,Male,52,13,2,7
52,67,Male,57,38,4,10
53,26,Female,131,45,5,3
54,43,Male,60,25,4,8
55,19,Male,63,67,5,9
56,37,Female,53,55,2,2
57,45,Female,85,96,1,1
58,64,Male,141,39,5,8
59,24,Female,15,65,1,10
60,61,Male,83,75,5,6
61,25,Female,44,2,4,10
62,64,Male,129,69,1,1
63,52,Female,22,86,5,3
64,31,Male,127,62,5,9
65,34,Female,33,46,1,9
66,53,Female,73,77,5,6
67,67,Female,93,87,1,3
68,57,Female,50,31,2,8
69,21,Female,69,99,3,6
70,19,Female,58,35,2,1
71,23,Female,91,45,1,6
72,59,Male,92,77,4,5
73,21,Male,115,54,4,8
74,46,Female,44,71,3,2
75,35,Female,53,69,1,7
76,43,Male,27,29,5,6
77,61,Male,136,72,2,1
78,51,Female,126,8,2,8
79,27,Male,59,54,3,6
80,53,Male,133,7,3,3
81,31,Female,49,83,3,5
82,48,Female,21,23,3,7
83,65,Female,124,100,3,9
84,32,Male,128,32,3,4
85,25,Female,65,62,5,2
86,31,Female,60,45,5,3
87,40,Male,34,68,2,7
88,57,Female,110,30,2,8
89,38,Male,52,39,3,5
90,33,Male,118,5,2,3
91,62,Male,46,67,3,1
92,35,Male,72,22,5,10
93,64,Male,96,28,4,1
94,41,Male,64,22,5,2
95,43,Female,66,86,1,5
96,42,Female,100,98,5,3
97,62,Female,129,29,1,7
98,58,Male,67,43,2,2
99,46,Female,80,42,5,2
100,32,Male,131,60,4,3
101,62,Female,57,77,5,1
102,18,Male,96,71,5,2
103,42,Female,78,74,5,5
104,24,Male,127,92,3,3
105,26,Female,149,68,5,10
106,41,Male,68,59,5,6
107,18,Female,79,96,4,2
108,61,Male,16,86,1,8
109,25,Female,146,84,1,4
110,41,Female,92,84,4,3
111,28,Female,46,6,2,5
112,68,Male,114,73,5,8
113,34,Male,144,28,2,9
114,25,Male,118,77,4,1
115,52,Male,103,31,2,4
116,52,Male,63,39,1,6
117,50,Female,101,50,3,6
118,22,Male,22,78,2,9
119,59,Female,115,86,3,1
120,56,Female,30,37,2,5
121,58,Male,54,88,4,10
122,45,Female,120,72,3,1
123,24,Male,41,15,2,6
124,26,Male,118,51,4,9
125,25,Male,119,70,1,4
126,29,Female,49,23,5,10
127,51,Male,127,25,4,10
128,50,Male,66,95,4,9
129,65,Male,67,46,1,3
130,40,Female,105,93,3,7
131,41,Male,95,23,2,5
132,54,Female,118,10,3,10
133,52,Female,80,73,4,1
134,61,Male,127,77,2,7
135,57,Female,45,32,5,8
136,39,Female,75,51,5,6
137,44,Male,115,41,2,1
138,52,Male,119,65,4,9
139,18,Male,112,65,1,7
140,52,Female,48,40,3,6
141,54,Male,73,18,3,4
142,64,Female,17,36,1,3
143,31,Female,31,31,1,4
144,20,Female,92,54,5,1
145,18,Female,60,63,1,9
146,22,Female,49,1,2,2
147,43,Male,143,52,5,2
148,31,Male,126,100,4,3
149,56,Female,146,57,5,1
150,44,Female,75,9,5,10
151,26,Male,111,86,3,3
152,32,Male,104,92,1,4
153,32,Female,73,90,2,9
154,43,Female,32,74,1,5
155,59,Male,109,56,3,6
156,30,Male,30,47,1,1
157,68,Female,24,3,2,3
158,49,Male,118,2,1,7
159,56,Male,90,54,3,7
160,66,Female,30,37,2,10
161,69,Female,26,56,1,1
162,49,Female,89,31,3,9
163,21,Male,143,97,3,1
164,47,Female,41,96,5,7
165,54,Male,26,12,2,2
166,40,Female,44,58,2,9
167,56,Female,23,67,1,9
168,62,Male,67,26,5,9
169,32,Male,68,78,2,4
170,60,Female,63,12,3,6
171,46,Female,18,90,2,2
172,53,Male,93,16,5,3
173,30,Female,105,53,4,6
174,49,Male,93,72,3,1
175,24,Male,117,49,2,7
176,68,Female,125,49,3,2
177,39,Male,72,92,1,8
178,45,Male,96,7,3,5
179,19,Male,146,15,2,7
180,59,Female,36,36,1,8
181,62,Male,145,72,1,3
182,23,Female,93,74,1,6
183,45,Female,113,15,4,9
184,45,Female,52,62,4,4
185,61,Male,131,18,1,10
186,61,Male,40,46,2,7
187,37,Female,64,61,1,1
188,47,Female,52,43,1,7
189,28,Male,56,44,3,9
190,45,Female,51,99,3,10
191,42,Female,63,66,3,8
192,56,Male,60,55,5,4
193,50,Female,43,86,3,3
194,18,Male,26,79,3,7
195,44,Male,130,39,2,1
196,69,Female,96,100,4,8
197,30,Male,58,5,4,1
198,58,Male,16,57,4,7
199,20,Male,31,15,5,6
200,56,Female,32,91,1,10
201,23,Female,36,16,3,8
202,25,Female,97,57,2,6
203,44,Male,72,100,5,5
204,26,Male,67,82,4,9
205,54,Female,15,99,5,4
206,50,Female,75,25,2,7
207,68,Male,45,22,5,6
208,59,Female,80,31,4,10
209,61,Female,67,34,1,6
210,41,Female,109,87,4,5
211,32,Female,37,16,4,2
212,49,Female,145,70,4,4
213,49,Male,101,59,5,1
214,41,Female,139,15,2,9
215,58,Female,123,82,4,9
216,69,Male,54,13,5,8
217,66,Male,135,24,2,4
218,66,Male,53,13,1,5
219,69,Male,134,65,4,1
220,29,Female,32,36,3,4
221,56,Female,51,49,5,4
222,19,Female,19,82,1,5
223,20,Female,87,48,1,2
224,66,Male,149,97,1,2
225,54,Male,55,43,5,2
226,66,Female,24,6,2,8
227,34,Female,82,81,3,2
228,66,Female,38,68,2,6
229,19,Female,92,14,4,2
230,19,Male,123,30,3,8
231,45,Female,38,84,2,1
232,40,Male,21,8,4,2
233,54,Male,87,54,3,5
234,49,Male,121,66,5,6
235,50,Male,113,4,4,9
236,18,Female,136,74,2,6
237,36,Female,26,84,3,8
238,19,Female,99,60,4,7
239,61,Female,17,53,4,1
240,43,Male,93,99,5,2
241,49,Male,99,74,4,4
242,23,Male,24,92,3,1
243,49,Female,47,15,1,8
244,21,Male,60,100,3,4
245,28,Male,73,1,3,7
246,34,Male,66,22,5,7
247,55,Male,20,91,5,8
248,41,Female,144,93,4,9
249,22,Male,43,15,5,9
250,69,Male,133,74,4,7
251,51,Female,111,84,1,9
252,23,Female,82,22,2,5
253,39,Female,74,50,5,10
254,28,Male,138,48,5,4
255,65,Male,98,73,1,3
256,33,Male,55,51,5,6
257,50,Male,127,96,1,10
258,26,Female,79,17,4,9
259,23,Male,93,83,5,4
260,33,Male,77,91,5,2
261,46,Female,132,51,4,3
262,20,Female,51,37,5,3
263,37,Female,78,98,3,2
264,53,Male,100,49,1,9
265,36,Male,147,59,2,4
266,43,Male,48,10,3,3
267,20,Male,53,30,2,10
268,36,Male,81,85,3,6
269,37,Female,76,21,3,8
270,49,Female,102,34,3,8
271,24,Male,145,73,1,10
272,69,Male,123,98,2,6
273,58,Male,103,50,4,5
274,50,Male,81,76,4,7
275,57,Male,93,47,5,3
276,56,Female,43,85,1,10
277,35,Female,88,84,1,2
278,57,Female,46,6,1,8
279,18,Male,101,50,3,9
280,28,Male,53,100,1,6
281,45,Female,115,63,4,4
282,42,Female,82,12,1,6
283,67,Male,42,41,3,7
284,40,Female,28,31,2,8
285,48,Female,91,2,1,3
286,47,Male,130,16,2,6
287,59,Female,42,1,5,10
288,52,Female,103,4,3,6
289,24,Female,46,47,1,10
290,33,Male,109,65,5,7
291,43,Female,31,52,5,4
292,65,Female,131,47,2,6
293,69,Female,91,99,4,2
294,66,Male,69,77,4,8
295,19,Male,24,50,4,3
296,18,Female,94,45,4,9
297,65,Male,148,42,3,8
298,29,Female,130,95,1,6
299,22,Male,93,84,1,10
300,54,Male,74,56,3,2
301,49,Female,56,71,2,8
302,26,Female,130,57,1,6
303,58,Female,123,33,5,1
304,52,Male,85,28,1,6
305,36,Female,116,44,3,5
306,65,Male,27,56,2,6
307,33,Male,29,44,1,1
308,20,Female,50,84,3,4
309,37,Male,29,96,5,7
310,41,Female,131,73,4,5
311,50,Male,89,34,5,6
312,41,Female,70,14,5,2
313,69,Male,109,68,2,8
314,28,Male,146,29,1,10
315,66,Female,66,79,4,4
316,25,Male,98,17,3,6
317,53,Female,43,83,4,3
318,55,Male,67,9,1,9
319,57,Male,35,27,2,8
320,37,Male,126,49,1,6
321,52,Female,90,79,3,9
322,65,Female,44,37,4,10
323,42,Female,139,28,5,9
324,52,Female,65,50,1,2
325,42,Female,92,55,2,9
326,46,Male,36,4,2,8
327,35,Male,78,85,4,2
328,63,Female,35,98,5,9
329,35,Male,143,19,3,5
330,19,Male,121,37,5,9
331,52,Male,130,4,4,3
332,33,Male,138,37,5,4
333,58,Female,50,51,4,1
334,53,Male,61,32,5,5
335,50,Female,46,45,1,7
336,21,Female,68,12,2,7
337,50,Male,37,41,4,6
338,31,Female,16,56,4,6
339,38,Male,124,80,2,8
340,65,Male,138,14,3,10
341,37,Male,81,54,4,9
342,25,Female,85,63,1,4
343,24,Female,43,65,5,4
344,20,Female,133,58,1,8
345,34,Male,127,96,4,5
346,50,Male,59,21,3,10
347,65,Male,30,4,4,9
348,29,Female,45,73,3,6
349,68,Male,64,46,2,9
350,39,Male,136,86,5,4
351,39,Female,29,12,1,1
352,63,Female,63,30,3,4
353,47,Female,24,94,1,9
354,55,Male,34,96,2,7
355,55,Male,84,60,4,6
356,62,Male,22,100,3,2
357,68,Female,48,71,5,4
358,25,Female,18,81,3,1
359,44,Female,122,65,4,3
360,44,Female,38,14,4,2
361,51,Male,69,44,5,4
362,38,Male,40,26,5,4
363,47,Male,39,91,2,9
364,50,Male,50,16,1,7
365,45,Male,85,7,3,3
366,64,Male,26,32,2,7
367,50,Male,143,89,1,8
368,22,Male,130,95,2,7
369,65,Female,147,16,5,8
370,36,Female,97,78,5,9
371,21,Male,20,89,4,1
372,52,Female,40,62,3,10
373,66,Male,127,30,3,6
374,34,Male,117,71,3,4
375,61,Female,134,12,2,1
376,45,Male,23,67,2,2
377,47,Male,59,91,3,10
378,46,Male,28,46,4,4
379,63,Male,126,83,1,1
